Date,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6)
2017-12-26,0.0,3.0,2.0,1.0,6.0,0.0,5.0,0.0,3.0,3.0,2.0,2.0,27,12.0,2.25,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0.5,6.0,6.0,5.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,1.0,2.0,43,3.5833333333333335,74.4,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2017-12-28,1.0,2.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,15,12.0,1.25,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.3333333333333333,3.0,5.0,2.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,32,2.6666666666666665,73.8,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-30,,,,,,,,1.0,3.0,3.0,1.0,2.0,10,5.0,2.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1,0.2,,,,,,,,6.0,3.0,7.0,2.0,1.0,19,3.8,74.6,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0
2017-12-31,7.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,,,16,7.0,2.2857142857142856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,1,0.14285714285714285,8.0,13.0,13.0,4.0,8.0,3.0,0.0,,,,,,49,7.0,74.6,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-01-02,4.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,5.0,0.0,27,12.0,2.25,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,3,0.25,4.0,1.0,5.0,4.0,2.0,4.0,7.0,4.0,6.0,11.0,4.0,1.0,53,4.416666666666667,74.6,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-01-04,5.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,17,12.0,1.4166666666666667,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.25,4.0,1.0,2.0,3.0,4.0,6.0,4.0,2.0,0.0,3.0,0.0,2.0,31,2.5833333333333335,74.6,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-01-06,,,,,,,,2.0,3.0,0.0,2.0,3.0,10,5.0,2.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,1,0.2,,,,,,,,3.0,1.0,5.0,0.0,0.0,9,1.8,74.8,0.0,0.0,0.0,0.0,1.0, ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-01-07,7.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,,,12,7.0,1.7142857142857142,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,,,,,6,0.8571428571428571,7.0,4.0,6.0,2.0,4.0,4.0,3.0,,,,,,30,4.285714285714286,74.4,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-01-09,0.0,0.0,2.0,2.0,7.0,1.0,6.0,0.0,2.0,2.0,0.0,1.0,23,12.0,1.9166666666666667,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.3333333333333333,1.0,0.0,12.0,2.0,10.0,2.0,3.0,3.0,5.0,5.0,0.0,0.0,43,3.5833333333333335,73.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-01-11,1.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,15,12.0,1.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.25,13.0,11.0,2.0,5.0,5.0,7.0,6.0,2.0,1.0,3.0,0.0,0.0,55,4.583333333333333,73.2,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
