,Date,Eat_Total,AvgPiecesPerShark,Drop_Total,AvgDropsPerShark,Target_Total,AvgTargetsPerShark,SharkCount,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,food_combo
41,2018-02-15,15,1.25,11,0.916666667,82,6.833333333,12,73.0,73,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
42,2018-02-17,9,1.8,0,0.0,15,3.0,5,74.0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
43,2018-02-18,20,2.857142857,7,1.0,48,6.857142857,7,73.4,73,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
44,2018-02-20,22,1.8333333330000001,7,0.583333333,71,5.916666667,12,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
45,2018-02-22,19,1.5833333330000001,6,0.5,84,7.0,12,72.8,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Blue Runner
46,2018-02-24,14,2.8,1,0.2,28,5.6,5,73.8,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
47,2018-02-25,19,2.714285714,4,0.571428571,69,9.857142857000001,7,73.0,73,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Mackerel_Herring
48,2018-02-27,20,1.6666666669999999,11,0.916666667,70,5.833333333,12,72.8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,2018-03-01,21,1.75,5,0.41666666700000005,57,4.75,12,72.8,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
50,2018-03-03,28,2.333333333,1,0.083333333,45,3.75,12,73.6,74,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Mackerel_Herring
51,2018-03-05,22,1.8333333330000001,6,0.5,115,9.583333332999999,12,73.8,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
52,2018-03-08,22,1.8333333330000001,1,0.083333333,136,11.33333333,12,72.6,73,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Blue Runner_Squid
53,2018-03-10,1,0.2,0,0.0,12,2.4,5,73.4,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Salmon
54,2018-03-11,20,2.857142857,6,0.857142857,67,9.571428571,7,73.2,73,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Mackerel_Herring
55,2018-03-13,10,0.833333333,10,0.833333333,45,3.75,12,72.4,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
56,2018-03-15,20,1.6666666669999999,4,0.333333333,82,6.833333333,12,73.6,74,0,1,1,0,0,0,1,1,0,0,0,0,1,0,Blue Runner_Squid_Goggle Eye
57,2018-03-17,11,2.2,2,0.4,19,3.8,5,74.0,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
58,2018-03-18,18,2.5714285709999998,5,0.7142857140000001,60,8.571428571,7,74.0,74,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Mackerel
59,2018-03-20,25,2.083333333,8,0.666666667,59,4.916666667,12,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
60,2018-03-22,18,1.5,2,0.166666667,31,2.583333333,12,74.0,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
61,2018-03-24,5,1.0,1,0.2,7,1.4,5,74.2,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
62,2018-03-25,20,2.857142857,3,0.428571429,58,8.285714286000001,7,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
63,2018-03-27,24,2.0,5,0.41666666700000005,44,3.666666667,12,73.8,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
64,2018-03-29,23,1.9166666669999999,3,0.25,86,7.166666667,12,74.4,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
65,2018-03-31,3,0.6,0,0.0,8,1.6,5,74.4,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
66,2018-04-01,27,3.857142857,0,0.0,74,10.57142857,7,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
67,2018-04-03,17,1.4166666669999999,7,0.583333333,66,5.5,12,74.6,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
68,2018-04-05,22,1.8333333330000001,5,0.41666666700000005,97,8.083333332999999,12,74.4,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
69,2018-04-07,8,1.6,0,0.0,17,3.4,5,74.6,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
70,2018-04-08,21,3.0,2,0.28571428600000004,38,5.428571429,7,74.6,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
71,2018-04-10,18,1.5,8,0.666666667,66,5.5,12,74.4,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
72,2018-04-12,24,2.0,4,0.333333333,31,2.583333333,12,75.0,75,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
73,2018-04-14,10,2.0,0,0.0,21,4.2,5,74.8,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
74,2018-04-15,15,2.142857143,4,0.571428571,62,8.857142857000001,7,74.8,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
75,2018-04-17,15,1.25,5,0.41666666700000005,105,8.75,12,74.4,74,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Saury
76,2018-04-19,18,1.5,4,0.333333333,83,6.916666667,12,74.4,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Blue Runner
77,2018-04-21,5,1.0,1,0.2,14,2.8,5,74.6,75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
78,2018-04-22,4,0.8,2,0.4,31,6.2,5,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
79,2018-04-24,0,0.0,5,0.41666666700000005,67,5.583333333,12,74.8,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
80,2018-04-26,23,1.9166666669999999,4,0.333333333,105,8.75,12,74.2,74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Blue Runner
81,2018-04-28,11,2.2,1,0.2,33,6.6,5,75.0,75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
82,2018-04-29,11,1.571428571,2,0.28571428600000004,53,7.571428571,7,75.0,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
83,2018-05-01,35,2.916666667,2,0.166666667,88,7.333333333,12,74.8,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
84,2018-05-03,21,1.75,3,0.25,69,5.75,12,74.4,74,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
85,2018-05-05,10,2.0,0,0.0,20,4.0,5,75.6,76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
86,2018-05-06,17,2.4285714290000002,1,0.14285714300000002,47,6.714285714,7,75.2,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
87,2018-05-08,33,2.75,3,0.25,94,7.833333333,12,75.4,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
88,2018-05-10,20,1.6666666669999999,3,0.25,58,4.833333333,12,75.6,76,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
89,2018-05-12,8,1.6,1,0.2,19,3.8,5,75.4,75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Herring_Goggle Eye
90,2018-05-13,15,2.142857143,2,0.28571428600000004,109,15.57142857,7,76.2,76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Mackerel
91,2018-05-15,35,2.916666667,6,0.5,87,7.25,12,76.0,76,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
92,2018-05-17,15,1.25,5,0.41666666700000005,52,4.333333333,12,75.6,76,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
93,2018-05-19,5,1.0,1,0.2,10,2.0,5,76.4,76,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Herring_Goggle Eye
94,2018-05-20,14,2.0,4,0.571428571,59,8.428571429,7,76.4,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
95,2018-05-22,36,3.0,6,0.5,81,6.75,12,76.2,76,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Saury_Squid
96,2018-05-24,21,1.75,3,0.25,69,5.75,12,76.2,76,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Bonito
97,2018-05-26,6,1.2,3,0.6,22,4.4,5,76.0,76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
98,2018-05-27,15,2.142857143,0,0.0,63,9.0,7,76.4,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
99,2018-05-29,29,2.416666667,4,0.333333333,47,3.916666667,12,76.4,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
100,2018-05-31,30,2.5,5,0.41666666700000005,102,8.5,12,76.8,77,0,1,1,0,0,0,1,1,0,0,0,0,1,0,Blue Runner_Squid_Goggle Eye
101,2018-06-02,9,1.8,1,0.2,13,2.6,5,76.4,76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
102,2018-06-03,14,2.0,1,0.14285714300000002,40,5.714285714,7,77.0,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
103,2018-06-05,26,2.166666667,7,0.583333333,68,5.666666667,12,76.6,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
104,2018-06-07,27,2.25,2,0.166666667,95,7.916666667,12,77.0,77,0,0,1,0,0,0,1,1,0,0,0,0,0,1,Squid_Humbolt Squid
105,2018-06-09,6,1.2,0,0.0,22,4.4,5,77.2,77,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Herring_Goggle Eye
106,2018-06-10,14,2.0,4,0.571428571,55,7.857142857,7,76.8,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
107,2018-06-12,27,2.25,6,0.5,98,8.166666667000001,12,76.6,77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Saury
108,2018-06-14,27,2.25,0,0.0,72,6.0,12,76.6,77,0,0,1,0,0,0,1,1,0,1,0,0,0,1,Squid_Bonito_Humbolt Squid
109,2018-06-15,6,1.2,1,0.2,25,5.0,5,76.6,77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
110,2018-06-17,12,1.714285714,3,0.428571429,37,5.285714286,7,76.6,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
111,2018-06-19,32,2.666666667,3,0.25,103,8.583333332999999,12,76.6,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
112,2018-06-21,18,1.5,2,0.166666667,51,4.25,12,76.6,77,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Salmon_Bonito_Goggle Eye
113,2018-06-23,5,1.0,0,0.0,33,6.6,5,76.8,77,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Herring_Bonito
114,2018-06-24,12,1.714285714,2,0.28571428600000004,52,7.428571429,7,77.2,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
115,2018-06-26,33,2.75,0,0.0,58,4.833333333,12,76.6,77,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Saury_Herring
116,2018-06-28,20,1.6666666669999999,6,0.5,107,8.916666667000001,12,76.8,77,0,0,1,0,1,0,0,1,0,0,1,0,0,0,Squid_Herring_Bluefish
117,2018-06-30,13,2.6,0,0.0,31,6.2,5,76.8,77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
118,2018-07-01,17,2.4285714290000002,4,0.571428571,53,7.571428571,7,77.4,77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
